date,age,n
2020-03-01,60yo_or_more,514
2020-03-01,less_than_60_yo,192
2020-04-01,60yo_or_more,8761
2020-04-01,less_than_60_yo,4044
2020-05-01,60yo_or_more,24197
2020-05-01,less_than_60_yo,9338
2020-06-01,60yo_or_more,21500
2020-06-01,less_than_60_yo,7654
2020-07-01,60yo_or_more,22674
2020-07-01,less_than_60_yo,7941
2020-08-01,60yo_or_more,19817
2020-08-01,less_than_60_yo,6440
2020-09-01,60yo_or_more,14535
2020-09-01,less_than_60_yo,4498
2020-10-01,60yo_or_more,10624
2020-10-01,less_than_60_yo,3306
2020-11-01,60yo_or_more,10868
2020-11-01,less_than_60_yo,3176
2020-12-01,60yo_or_more,19948
2020-12-01,less_than_60_yo,6001
2021-01-01,60yo_or_more,24678
2021-01-01,less_than_60_yo,7901
2021-02-01,60yo_or_more,22130
2021-02-01,less_than_60_yo,8386
2021-03-01,60yo_or_more,54160
2021-03-01,less_than_60_yo,26883
2021-04-01,60yo_or_more,47807
2021-04-01,less_than_60_yo,28982
2021-05-01,60yo_or_more,29022
2021-05-01,less_than_60_yo,25771
2021-06-01,60yo_or_more,21356
2021-06-01,less_than_60_yo,27134
2021-07-01,60yo_or_more,14170
2021-07-01,less_than_60_yo,14174
2021-08-01,60yo_or_more,11513
2021-08-01,less_than_60_yo,6194
2021-09-01,60yo_or_more,8740
2021-09-01,less_than_60_yo,2947
2021-10-01,60yo_or_more,5979
2021-10-01,less_than_60_yo,1623
2021-11-01,60yo_or_more,3603
2021-11-01,less_than_60_yo,1074
2021-12-01,60yo_or_more,2278
2021-12-01,less_than_60_yo,849
2022-01-01,60yo_or_more,11703
2022-01-01,less_than_60_yo,2886
2022-02-01,60yo_or_more,16303
2022-02-01,less_than_60_yo,3470
2022-03-01,60yo_or_more,4504
2022-03-01,less_than_60_yo,1071
2022-04-01,60yo_or_more,1020
2022-04-01,less_than_60_yo,322
2022-05-01,60yo_or_more,1272
2022-05-01,less_than_60_yo,335
2022-06-01,60yo_or_more,4158
2022-06-01,less_than_60_yo,807
2022-07-01,60yo_or_more,5275
2022-07-01,less_than_60_yo,1120
2022-08-01,60yo_or_more,2178
2022-08-01,less_than_60_yo,489
2022-09-01,60yo_or_more,703
2022-09-01,less_than_60_yo,191
2022-10-01,60yo_or_more,330
2022-10-01,less_than_60_yo,101
2022-11-01,60yo_or_more,1343
2022-11-01,less_than_60_yo,338
2022-12-01,60yo_or_more,3144
2022-12-01,less_than_60_yo,634
2023-01-01,60yo_or_more,1630
2023-01-01,less_than_60_yo,307
2023-02-01,60yo_or_more,36
2023-02-01,less_than_60_yo,7
