month,age,dose,n
2021-02-01,60yo_or_more,D1,422484
2021-02-01,60yo_or_more,D2,1717
2021-02-01,60yo_or_more,D3,4
2021-02-01,less_than_60_yo,D1,2358153
2021-02-01,less_than_60_yo,D2,11974
2021-02-01,less_than_60_yo,D3,113
2021-03-01,60yo_or_more,D1,2565561
2021-03-01,60yo_or_more,D2,351133
2021-03-01,60yo_or_more,D3,2638
2021-03-01,less_than_60_yo,D1,2363435
2021-03-01,less_than_60_yo,D2,1991145
2021-03-01,less_than_60_yo,D3,15092
2021-04-01,60yo_or_more,D1,12819018
2021-04-01,60yo_or_more,D2,2691698
2021-04-01,60yo_or_more,D3,17059
2021-04-01,less_than_60_yo,D1,2611001
2021-04-01,less_than_60_yo,D2,2976966
2021-04-01,less_than_60_yo,D3,20935
2021-05-01,60yo_or_more,D1,13405290
2021-05-01,60yo_or_more,D2,12375608
2021-05-01,60yo_or_more,D3,78935
2021-05-01,less_than_60_yo,D1,3506075
2021-05-01,less_than_60_yo,D2,4398845
2021-05-01,less_than_60_yo,D3,30384
2021-06-01,60yo_or_more,D1,12515505
2021-06-01,60yo_or_more,D2,16799898
2021-06-01,60yo_or_more,D3,101695
2021-06-01,less_than_60_yo,D1,14562418
2021-06-01,less_than_60_yo,D2,5755774
2021-06-01,less_than_60_yo,D3,36600
2021-07-01,60yo_or_more,D1,11065650
2021-07-01,60yo_or_more,D2,18752597
2021-07-01,60yo_or_more,D3,120216
2021-07-01,less_than_60_yo,D1,42746239
2021-07-01,less_than_60_yo,D2,6657708
2021-07-01,less_than_60_yo,D3,41270
2021-08-01,60yo_or_more,D1,4573476
2021-08-01,60yo_or_more,D2,25626315
2021-08-01,60yo_or_more,D3,154014
2021-08-01,less_than_60_yo,D1,66816486
2021-08-01,less_than_60_yo,D2,12051538
2021-08-01,less_than_60_yo,D3,56702
2021-09-01,60yo_or_more,D1,2774748
2021-09-01,60yo_or_more,D2,27631153
2021-09-01,60yo_or_more,D3,176138
2021-09-01,less_than_60_yo,D1,79357208
2021-09-01,less_than_60_yo,D2,31326705
2021-09-01,less_than_60_yo,D3,110168
2021-10-01,60yo_or_more,D1,2313228
2021-10-01,60yo_or_more,D2,26774910
2021-10-01,60yo_or_more,D3,1650441
2021-10-01,less_than_60_yo,D1,63883842
2021-10-01,less_than_60_yo,D2,60706844
2021-10-01,less_than_60_yo,D3,337518
2021-11-01,60yo_or_more,D1,2007432
2021-11-01,60yo_or_more,D2,21455902
2021-11-01,60yo_or_more,D3,7448878
2021-11-01,less_than_60_yo,D1,47736279
2021-11-01,less_than_60_yo,D2,80802322
2021-11-01,less_than_60_yo,D3,2767395
2021-12-01,60yo_or_more,D1,1733810
2021-12-01,60yo_or_more,D2,16267367
2021-12-01,60yo_or_more,D3,13080689
2021-12-01,less_than_60_yo,D1,34069163
2021-12-01,less_than_60_yo,D2,96415752
2021-12-01,less_than_60_yo,D3,4473716
2022-01-01,60yo_or_more,D1,1538593
2022-01-01,60yo_or_more,D2,10927270
2022-01-01,60yo_or_more,D3,18792177
2022-01-01,less_than_60_yo,D1,26547229
2022-01-01,less_than_60_yo,D2,99916261
2022-01-01,less_than_60_yo,D3,10952396
2022-02-01,60yo_or_more,D1,1444276
2022-02-01,60yo_or_more,D2,8284259
2022-02-01,60yo_or_more,D3,21633183
2022-02-01,less_than_60_yo,D1,26116345
2022-02-01,less_than_60_yo,D2,88903352
2022-02-01,less_than_60_yo,D3,27134065
2022-03-01,60yo_or_more,D1,1399284
2022-03-01,60yo_or_more,D2,7306820
2022-03-01,60yo_or_more,D3,22716734
2022-03-01,less_than_60_yo,D1,29729202
2022-03-01,less_than_60_yo,D2,79459755
2022-03-01,less_than_60_yo,D3,40027021
2022-04-01,60yo_or_more,D1,1364031
2022-04-01,60yo_or_more,D2,6762024
2022-04-01,60yo_or_more,D3,23337684
2022-04-01,less_than_60_yo,D1,26810075
2022-04-01,less_than_60_yo,D2,74262194
2022-04-01,less_than_60_yo,D3,50615396
2022-05-01,60yo_or_more,D1,1332791
2022-05-01,60yo_or_more,D2,6226346
2022-05-01,60yo_or_more,D3,23964542
2022-05-01,less_than_60_yo,D1,25007123
2022-05-01,less_than_60_yo,D2,72995245
2022-05-01,less_than_60_yo,D3,54707580
2022-06-01,60yo_or_more,D1,1300720
2022-06-01,60yo_or_more,D2,5736484
2022-06-01,60yo_or_more,D3,24553657
2022-06-01,less_than_60_yo,D1,24096884
2022-06-01,less_than_60_yo,D2,71880353
2022-06-01,less_than_60_yo,D3,57406926
2022-07-01,60yo_or_more,D1,1271132
2022-07-01,60yo_or_more,D2,5255830
2022-07-01,60yo_or_more,D3,25132606
2022-07-01,less_than_60_yo,D1,23354675
2022-07-01,less_than_60_yo,D2,67897373
2022-07-01,less_than_60_yo,D3,62868388
2022-08-01,60yo_or_more,D1,1253306
2022-08-01,60yo_or_more,D2,4984090
2022-08-01,60yo_or_more,D3,25463338
2022-08-01,less_than_60_yo,D1,22932744
2022-08-01,less_than_60_yo,D2,64715294
2022-08-01,less_than_60_yo,D3,67341609
2022-09-01,60yo_or_more,D1,1244726
2022-09-01,60yo_or_more,D2,4868461
2022-09-01,60yo_or_more,D3,25606941
2022-09-01,less_than_60_yo,D1,22778149
2022-09-01,less_than_60_yo,D2,63151084
2022-09-01,less_than_60_yo,D3,69754937
2022-10-01,60yo_or_more,D1,1241539
2022-10-01,60yo_or_more,D2,4827648
2022-10-01,60yo_or_more,D3,25659325
2022-10-01,less_than_60_yo,D1,22854907
2022-10-01,less_than_60_yo,D2,62548948
2022-10-01,less_than_60_yo,D3,70791961
2022-11-01,60yo_or_more,D1,1239763
2022-11-01,60yo_or_more,D2,4806362
2022-11-01,60yo_or_more,D3,25687176
2022-11-01,less_than_60_yo,D1,23038863
2022-11-01,less_than_60_yo,D2,62236839
2022-11-01,less_than_60_yo,D3,71440631
2022-12-01,60yo_or_more,D1,1237650
2022-12-01,60yo_or_more,D2,4742773
2022-12-01,60yo_or_more,D3,25764653
2022-12-01,less_than_60_yo,D1,23171308
2022-12-01,less_than_60_yo,D2,61511115
2022-12-01,less_than_60_yo,D3,72638182
2023-01-01,60yo_or_more,D1,1236377
2023-01-01,60yo_or_more,D2,4700891
2023-01-01,60yo_or_more,D3,25817263
2023-01-01,less_than_60_yo,D1,23225514
2023-01-01,less_than_60_yo,D2,60983171
2023-01-01,less_than_60_yo,D3,73566803
2023-02-01,60yo_or_more,D1,1236138
2023-02-01,60yo_or_more,D2,4681918
2023-02-01,60yo_or_more,D3,25841620
2023-02-01,less_than_60_yo,D1,23222369
2023-02-01,less_than_60_yo,D2,60614940
2023-02-01,less_than_60_yo,D3,74256310
